"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25, 2019","315.55","308.83","315.73","305.25","7.88M","1.63%"
"Nov 22, 2019","310.48","309.10","311.40","304.41","5.97M","-0.39%"
"Nov 21, 2019","311.69","306.00","312.69","304.26","7.49M","2.14%"
"Nov 20, 2019","305.16","301.01","308.25","301.00","5.12M","0.85%"
"Nov 19, 2019","302.60","304.01","305.67","298.52","5.92M","0.01%"
"Nov 18, 2019","302.57","296.00","304.99","293.28","8.62M","2.56%"
"Nov 15, 2019","295.03","290.59","295.82","287.57","6.34M","1.87%"
"Nov 14, 2019","289.62","283.25","290.63","283.22","6.54M","2.30%"
"Nov 13, 2019","283.11","291.03","293.41","281.14","9.23M","-3.05%"
"Nov 12, 2019","292.01","295.32","295.35","288.70","5.77M","-0.74%"
"Nov 11, 2019","294.18","289.16","296.36","288.50","3.95M","0.90%"
"Nov 08, 2019","291.57","288.73","293.99","287.50","4.51M","0.69%"
"Nov 07, 2019","289.57","290.70","298.19","288.27","5.93M","0.34%"
"Nov 06, 2019","288.59","288.19","290.56","285.84","3.44M","0.19%"
"Nov 05, 2019","288.03","289.99","291.19","286.31","4.06M","-1.65%"
"Nov 04, 2019","292.86","288.00","295.39","287.16","5.57M","2.11%"
"Nov 01, 2019","286.81","288.70","289.12","283.02","5.59M","-0.21%"
"Oct 31, 2019","287.41","291.00","291.45","284.78","5.09M","-1.39%"
"Oct 30, 2019","291.45","284.34","293.49","283.00","9.35M","3.64%"
"Oct 29, 2019","281.21","281.87","284.41","277.55","4.36M","-0.23%"
"Oct 28, 2019","281.86","278.05","285.75","277.35","6.25M","1.82%"
"Oct 25, 2019","276.82","270.68","277.77","270.18","4.75M","1.96%"
"Oct 24, 2019","271.50","271.81","274.02","268.80","4.91M","0.08%"
"Oct 23, 2019","271.27","268.06","273.92","266.63","7.15M","1.72%"
"Oct 22, 2019","266.69","271.16","275.41","265.80","11.87M","-4.09%"
"Oct 21, 2019","278.05","272.89","279.94","269.00","12.63M","1.00%"
"Oct 18, 2019","275.30","289.36","290.90","273.36","23.45M","-6.15%"
"Oct 17, 2019","293.35","304.49","308.75","288.30","38.46M","2.47%"
"Oct 16, 2019","286.28","283.12","288.17","280.74","18.41M","0.71%"
"Oct 15, 2019","284.25","283.82","285.87","279.40","7.73M","-0.45%"
"Oct 14, 2019","285.53","283.93","286.93","282.00","5.54M","0.92%"
"Oct 11, 2019","282.93","284.80","287.87","275.89","8.82M","0.87%"
"Oct 10, 2019","280.48","265.97","280.53","265.03","10.96M","4.84%"
"Oct 09, 2019","267.53","270.02","271.00","264.57","6.84M","-1.18%"
"Oct 08, 2019","270.72","273.03","275.53","270.64","6.30M","-1.36%"
"Oct 07, 2019","274.46","271.99","276.68","271.28","6.80M","0.61%"
"Oct 04, 2019","272.79","268.20","275.48","266.47","9.99M","1.73%"
"Oct 03, 2019","268.15","267.78","268.84","257.01","9.07M","0.04%"
"Oct 02, 2019","268.03","263.61","269.35","262.19","7.77M","-0.57%"
"Oct 01, 2019","269.58","267.35","272.20","264.03","8.79M","0.73%"
"Sep 30, 2019","267.62","264.00","268.88","262.78","6.82M","1.73%"
"Sep 27, 2019","263.08","266.18","267.44","260.39","7.37M","-0.09%"
"Sep 26, 2019","263.31","266.42","268.05","260.20","7.70M","-0.54%"
"Sep 25, 2019","264.75","255.71","266.60","253.70","11.85M","3.99%"
"Sep 24, 2019","254.59","262.50","265.00","252.28","16.39M","-4.26%"
"Sep 23, 2019","265.92","268.35","273.39","261.89","13.61M","-1.78%"
"Sep 20, 2019","270.75","280.26","282.50","266.00","23.95M","-5.53%"
"Sep 19, 2019","286.60","291.56","293.81","283.40","8.55M","-1.70%"
"Sep 18, 2019","291.56","294.99","296.05","287.45","7.84M","-2.36%"
