date,price
2019. 3. 8,133000
2019. 3. 11,133500
2019. 3. 12,130500
2019. 3. 13,130500
2019. 3. 14,131000
2019. 3. 15,130500
2019. 3. 18,132000
2019. 3. 19,130500
2019. 3. 20,128500
2019. 3. 21,128000
2019. 3. 22,127000
2019. 3. 25,126000
2019. 3. 26,126500
2019. 3. 27,123000
2019. 3. 28,122000
2019. 3. 29,124000
2019. 4. 1,124000
2019. 4. 2,124500
2019. 4. 3,122000
2019. 4. 4,122500
2019. 4. 5,123000
2019. 4. 8,121500
2019. 4. 9,121500
2019. 4. 10,122000
2019. 4. 11,121500
2019. 4. 12,119500
2019. 4. 15,119500
2019. 4. 16,119500
2019. 4. 17,119500
2019. 4. 18,118000
2019. 4. 19,118000
2019. 4. 22,118000
2019. 4. 23,120500
2019. 4. 24,121000
2019. 4. 25,120500
2019. 4. 26,118000
2019. 4. 29,120000
2019. 4. 30,119500
2019. 5. 2,122000
2019. 5. 3,124000
2019. 5. 7,124000
2019. 5. 8,123500
2019. 5. 9,119000
2019. 5. 10,122500
2019. 5. 13,122500
2019. 5. 14,122000
2019. 5. 15,120000
2019. 5. 16,119000
2019. 5. 17,121000
2019. 5. 20,118500
2019. 5. 21,114500
2019. 5. 22,113000
2019. 5. 23,113000
2019. 5. 24,113500
2019. 5. 27,110500
2019. 5. 28,108500
2019. 5. 29,109500
2019. 5. 30,112000
2019. 5. 31,111500
2019. 6. 3,115000
2019. 6. 4,111000
2019. 6. 5,110500
2019. 6. 7,111000
2019. 6. 10,114000
2019. 6. 11,113000
2019. 6. 12,114000
2019. 6. 13,113000
2019. 6. 14,111500
2019. 6. 17,110500
2019. 6. 18,109000
2019. 6. 19,110000
2019. 6. 20,111500
2019. 6. 21,113000
2019. 6. 24,113500
2019. 6. 25,114500
2019. 6. 26,115500
2019. 6. 27,115000
2019. 6. 28,114000
2019. 7. 1,114500
2019. 7. 2,115000
2019. 7. 3,117500
2019. 7. 4,118000
2019. 7. 5,121000
2019. 7. 8,118500
2019. 7. 9,115500
2019. 7. 10,115500
2019. 7. 11,117000
2019. 7. 12,117000
2019. 7. 15,118000
2019. 7. 16,120000
2019. 7. 17,119000
2019. 7. 18,120500
2019. 7. 19,122500
2019. 7. 22,121000
2019. 7. 23,122500
2019. 7. 24,123500
2019. 7. 25,134000
2019. 7. 26,141000
2019. 7. 29,138500
2019. 7. 30,138500
2019. 7. 31,138000
2019. 8. 1,140500
2019. 8. 2,142000
2019. 8. 5,138000
2019. 8. 6,138500
2019. 8. 7,137500
2019. 8. 8,140000
2019. 8. 9,142500
2019. 8. 12,140500
2019. 8. 13,142500
2019. 8. 14,139000
2019. 8. 16,139500
2019. 8. 19,139000
2019. 8. 20,145500
2019. 8. 21,147500
2019. 8. 22,148000
2019. 8. 23,148500
2019. 8. 26,143500
2019. 8. 27,146500
2019. 8. 28,146500
2019. 8. 29,145000
2019. 8. 30,146500
2019. 9. 2,150000
2019. 9. 3,150500
2019. 9. 4,151000
2019. 9. 5,147000
2019. 9. 6,149500
2019. 9. 9,153000
2019. 9. 10,150500
2019. 9. 11,153500
